Trade Date,Order Type,Code,Units,Average Price ($),Brokerage (inc GST.),Dividend Per Share,Dividend Total,Net Proceeds ($),Status,Grouped,Month
21/02/2020,S,AVH,-6097,0.76,19.95,,,"4,613.77",Confirmed,21/02/2020,2020-02
28/01/2020,B,BAP,481,6.23,19.95,,,"-3,016.58",Confirmed,24/03/2020,2020-03
25/02/2020,B,BAP,308,6.48,19.95,,,"-2,015.79",Confirmed,24/03/2020,2020-03
24/03/2020,S,BAP,-789,3.19,19.95,,,"2,496.96",Confirmed,24/03/2020,2020-03
11/03/2020,B,BBOZ,800,12.48,19.95,,,"-10,003.95",Confirmed,18/03/2020,2020-03
12/03/2020,B,BBOZ,212,14.11,19.95,,,"-3,011.27",Confirmed,18/03/2020,2020-03
13/03/2020,B,BBOZ,1617,14.22,25.29,,,"-23,019.03",Confirmed,18/03/2020,2020-03
13/03/2020,S,BBOZ,-1417,16.61,25.89,,,"23,510.48",Confirmed,18/03/2020,2020-03
13/03/2020,B,BBOZ,405,17.1,19.95,,,"-6,945.45",Confirmed,18/03/2020,2020-03
17/03/2020,B,BBOZ,1900,15.86,33.14,,,"-30,167.14",Confirmed,18/03/2020,2020-03
17/03/2020,S,BBOZ,-1617,15.7,27.93,,,"25,358.97",Confirmed,18/03/2020,2020-03
18/03/2020,S,BBOZ,-1900,14.65,30.62,,,"27,804.38",Confirmed,18/03/2020,2020-03
19/03/2020,B,BBOZ,493,16.2,19.95,,,"-8,006.55",Confirmed,30/03/2020,2020-03
20/03/2020,B,BBOZ,842,16.61,19.95,,,"-14,005.57",Confirmed,30/03/2020,2020-03
20/03/2020,B,BBOZ,511,15.65,19.95,,,"-8,017.10",Confirmed,30/03/2020,2020-03
20/03/2020,S,BBOZ,-493,16.5,19.95,,,"8,114.55",Confirmed,30/03/2020,2020-03
24/03/2020,B,BBOZ,568,17.59,19.95,,,"-10,011.07",Confirmed,30/03/2020,2020-03
26/03/2020,B,BBOZ,500,14.15,19.95,,,"-7,094.95",Confirmed,30/03/2020,2020-03
27/03/2020,S,BBOZ,-769,13,19.95,,,"9,977.05",Confirmed,30/03/2020,2020-03
30/03/2020,S,BBOZ,-1652,14.75,26.81,,,"24,340.19",Confirmed,30/03/2020,2020-03
31/03/2020,B,BBOZ,1100,13.63,19.95,,,"-15,012.95",Confirmed,2/04/2020,2020-04
1/04/2020,B,BBOZ,400,12.77,19.95,,,"-5,127.95",Confirmed,2/04/2020,2020-04
1/04/2020,B,BBOZ,1100,13.07,19.95,,,"-14,396.95",Confirmed,2/04/2020,2020-04
1/04/2020,S,BBOZ,-1100,12.88,19.95,,,"14,148.05",Confirmed,2/04/2020,2020-04
2/04/2020,S,BBOZ,-1500,13.72,22.64,,,"20,557.36",Confirmed,2/04/2020,2020-04
31/01/2020,B,BKL,59,81.59,12.5,,,"-4,826.31",Confirmed,17/02/2020,2020-02
12/02/2020,B,BKL,137,72.8,19.95,,,"-9,993.55",Confirmed,17/02/2020,2020-02
17/02/2020,S,BKL,-196,70.78,19.95,,,"13,852.93",Confirmed,17/02/2020,2020-02
25/02/2020,B,BKL,72,68.898,19.95,,,"-4,980.61",Confirmed,18/03/2020,2020-03
9/03/2020,B,BKL,43,68.78,19.95,,,"-2,977.49",Confirmed,18/03/2020,2020-03
18/03/2020,S,BKL,-115,68.82,19.95,,,"7,894.35",Confirmed,18/03/2020,2020-03
24/01/2020,B,CIM,104,28.69,19.95,,,"-3,003.71",Confirmed,18/03/2020,2020-03
3/02/2020,B,CIM,70,28.51,12.5,,,"-2,008.20",Confirmed,18/03/2020,2020-03
12/02/2020,B,CIM,180,27.85,19.95,,,"-5,032.95",Confirmed,18/03/2020,2020-03
